iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737399672.356797,1737399672.6637132,1737399672.4301813,1737399672.5492294,1737399672.5698266,1737399672.6530473,1737399672.6557128,1737399672.6557906
1737399677.243521,1737399678.4764094,1737399677.2975557,1737399677.8997607,1737399677.9305844,1737399678.4658673,1737399678.4690225,1737399678.4691017
1737399680.4722116,1737399681.9508643,1737399680.489066,1737399681.3040948,1737399681.3176584,1737399681.9395003,1737399681.9437952,1737399681.9439247
1737399675.6485384,1737399706.2245193,1737399675.6645277,1737399676.0427732,1737399676.0653872,1737399676.2141418,1737399676.2173126,1737399676.2173808
1737399675.6485384,1737399736.0945387,1737399675.6645277,1737399675.982308,1737399676.0024815,1737399676.075315,1737399676.0791054,1737399676.0791788
1737399677.243521,1737399768.2506557,1737399677.2975557,1737399678.1160817,1737399678.1320624,1737399678.236717,1737399678.2404292,1737399678.2405143
1737399677.816678,1737399768.6172578,1737399677.83123,1737399678.0428905,1737399678.0621822,1737399678.606795,1737399678.6096509,1737399678.609725
1737399675.1012824,1737399825.9020278,1737399675.1330125,1737399675.2538204,1737399675.274397,1737399675.8895438,1737399675.8931036,1737399675.8931837
1737399929.0012715,1737399929.2831707,1737399929.037292,1737399929.1613126,1737399929.1781301,1737399929.2703757,1737399929.2739887,1737399929.2740679
1737399670.7655482,1737399971.0346594,1737399670.807278,1737399670.9289913,1737399670.949437,1737399671.0186265,1737399671.0220351,1737399671.0221162
1737399676.7114956,1737400007.4449167,1737399676.7272146,1737399676.8508923,1737399676.86924,1737399677.4248304,1737399677.4280562,1737399677.4281554
1737399927.3071275,1737400017.7283986,1737399927.3278437,1737399927.5070064,1737399927.522179,1737399927.6323135,1737399927.6368933,1737399927.6370227
1737399669.7054129,1737400030.0807893,1737399669.7539127,1737399669.8757615,1737399669.8932621,1737399669.9585161,1737399669.9623668,1737399669.9624696
1737399676.1789758,1737400036.9559674,1737399676.1937156,1737399676.322645,1737399676.3405159,1737399676.9232976,1737399676.9273207,1737399676.9274027
