iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737404470.9444141,1737404471.8108506,1737404471.581696,1737404471.7100449,1737404471.7205226,1737404471.8000402,1737404471.8025508,1737404471.8026307
1737404471.754399,1737404473.0646892,1737404472.4373262,1737404472.563568,1737404472.5836499,1737404473.0536222,1737404473.057018,1737404473.0570982
1737404466.7562222,1737404475.8041887,1737404475.481971,1737404475.6767786,1737404475.703361,1737404475.7881622,1737404475.7911587,1737404475.791231
1737404473.389387,1737404481.6166255,1737404480.8353386,1737404481.491676,1737404481.5071883,1737404481.6055615,1737404481.607977,1737404481.6080713
1737404477.0400763,1737404482.207856,1737404480.3135095,1737404480.4357643,1737404480.4459276,1737404482.1980274,1737404482.200038,1737404482.200114
1737404473.117666,1737404485.585988,1737404484.255396,1737404485.0001898,1737404485.0128372,1737404485.5735195,1737404485.578669,1737404485.5788462
1737404474.7501912,1737404486.4986856,1737404486.17363,1737404486.3515606,1737404486.3639965,1737404486.4888282,1737404486.4913948,1737404486.4914753
1737404476.4681036,1737404486.7418296,1737404486.4429245,1737404486.5703828,1737404486.5876915,1737404486.7304823,1737404486.7340348,1737404486.73411
1737404476.7520888,1737404510.0236995,1737404479.727744,1737404479.8621118,1737404479.8760037,1737404479.9958167,1737404479.998791,1737404479.9988852
1737404465.649927,1737404531.5376801,1737404470.7903461,1737404470.9840436,1737404471.002023,1737404471.5207903,1737404471.5235207,1737404471.523603
1737404471.214011,1737404532.2792766,1737404471.965938,1737404472.0856495,1737404472.10457,1737404472.186744,1737404472.189436,1737404472.1895158
1737404468.762934,1737404535.7135618,1737404475.2252119,1737404475.6036828,1737404475.614452,1737404475.6826525,1737404475.685285,1737404475.6853485
1737404467.0352345,1737404562.4767752,1737404472.242747,1737404472.365233,1737404472.3869443,1737404472.4631488,1737404472.4664547,1737404472.4665332
1737404473.6617808,1737404572.7318306,1737404482.0129063,1737404482.1357312,1737404482.155546,1737404482.7182062,1737404482.7216403,1737404482.721714
1737404475.8953426,1737404574.2424483,1737404483.7866435,1737404484.118252,1737404484.1332886,1737404484.2290926,1737404484.2327144,1737404484.2328017
1737404472.2929475,1737404604.4178214,1737404482.9297647,1737404483.1435866,1737404483.1609385,1737404484.4018636,1737404484.40432,1737404484.4043906
1737404473.117666,1737404605.0511498,1737404484.255396,1737404484.9274929,1737404484.941451,1737404485.0386236,1737404485.0409076,1737404485.0409954
1737404468.4747603,1737404641.4497342,1737404490.769239,1737404490.8979955,1737404490.9177625,1737404491.4349291,1737404491.439025,1737404491.4390905
1737404472.0242708,1737404662.0033255,1737404481.60371,1737404481.825908,1737404481.843477,1737404481.9880784,1737404481.9904604,1737404481.990539
1737404473.6617808,1737404662.332946,1737404482.0129063,1737404482.2084033,1737404482.2198114,1737404482.3123715,1737404482.3146763,1737404482.3152335
1737404473.9333248,1737404662.876195,1737404482.2684398,1737404482.6494255,1737404482.671739,1737404482.856694,1737404482.8609076,1737404482.8609872
1737404507.6786714,1737404699.4965806,1737404517.8837523,1737404518.9065328,1737404518.9197774,1737404519.4747145,1737404519.4780622,1737404519.4781332
1737404471.754399,1737404712.7224734,1737404472.4373262,1737404472.5663493,1737404472.5849223,1737404472.6850953,1737404472.6873932,1737404472.6874692
1737404741.1451466,1737404780.7748573,1737404779.0844693,1737404780.115245,1737404780.1311784,1737404780.6929548,1737404780.6959229,1737404780.6960008
1737404473.389387,1737404781.6641743,1737404480.8353386,1737404481.0346746,1737404481.0446832,1737404481.5670834,1737404481.5704985,1737404481.5705912
1737404739.8767242,1737404786.4389198,1737404785.726872,1737404785.854265,1737404785.8730843,1737404786.4285479,1737404786.4316208,1737404786.431708
1737404472.5623102,1737404845.2361104,1737404484.5212877,1737404485.048419,1737404485.0626993,1737404485.1531947,1737404485.1579792,1737404485.1580422
1737404741.4704018,1737404848.5051947,1737404788.2295115,1737404788.3517306,1737404788.369056,1737404788.4778385,1737404788.4857938,1737404788.4858875
1737404472.8445678,1737404904.2040179,1737404483.5316722,1737404483.6508164,1737404483.664768,1737404484.177063,1737404484.1806962,1737404484.1807652
