iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737306052.1581314,1737306082.824555,1737306052.1723812,1737306052.2910464,1737306052.3122163,1737306052.8093908,1737306052.8125763,1737306052.8126526
1737306045.8867908,1737306106.6714222,1737306045.8998594,1737306046.0176413,1737306046.0363855,1737306046.6016877,1737306046.6071107,1737306046.6072402
1737306052.1581314,1737306202.8493552,1737306052.1723812,1737306052.2926338,1737306052.3062978,1737306052.8364544,1737306052.8399944,1737306052.8400767
1737306051.11235,1737306261.497257,1737306051.1247299,1737306051.2423587,1737306051.26107,1737306051.4367454,1737306051.4402044,1737306051.4402835
1737306055.28895,1737306385.5988379,1737306055.3193653,1737306055.4362626,1737306055.4500737,1737306055.574661,1737306055.5776694,1737306055.5777464
1737306401.0814245,1737306401.851696,1737306401.116581,1737306401.2432005,1737306401.2572453,1737306401.79027,1737306401.7933364,1737306401.7934456
1737306294.672302,1737306415.0818253,1737306294.6920886,1737306294.8193157,1737306294.8319445,1737306294.9416986,1737306294.9444413,1737306294.9445195
1737306652.2119815,1737306652.9280934,1737306652.2265882,1737306652.3441992,1737306652.3672912,1737306652.8677716,1737306652.8715024,1737306652.8715706
1737306653.2667377,1737306654.0267923,1737306653.2806478,1737306653.3998303,1737306653.4164026,1737306653.959451,1737306653.9630244,1737306653.9631085
1737306680.388795,1737306680.630601,1737306680.4037457,1737306680.5218446,1737306680.540055,1737306680.6187758,1737306680.6225562,1737306680.6226346
1737306681.4464278,1737306681.7105684,1737306681.460073,1737306681.5800984,1737306681.5965347,1737306681.7000701,1737306681.703503,1737306681.7035751
1737306660.5775502,1737306690.8512871,1737306660.5923064,1737306660.7129169,1737306660.7273595,1737306660.8407447,1737306660.8439767,1737306660.8440788
1737306660.5775502,1737306721.4372,1737306660.5923064,1737306660.710414,1737306660.7298136,1737306661.4251943,1737306661.4299407,1737306661.430019
1737306658.4900155,1737306748.7305095,1737306658.5046616,1737306658.6253564,1737306658.6424944,1737306658.7169204,1737306658.72108,1737306658.72116
1737306658.4900155,1737306748.8123374,1737306658.5046616,1737306658.6234758,1737306658.639194,1737306658.8001547,1737306658.8032773,1737306658.8033307
1737306661.6231163,1737306811.9340923,1737306661.6759555,1737306661.7983468,1737306661.825082,1737306661.9201465,1737306661.923545,1737306661.9236495
1737306845.679839,1737306846.321705,1737306845.709661,1737306845.828444,1737306845.8473794,1737306846.2978692,1737306846.3009136,1737306846.3009794
1737306851.9435515,1737306882.4268546,1737306851.9589412,1737306852.0815682,1737306852.0961628,1737306852.4151797,1737306852.4189665,1737306852.419049
1737306682.5002818,1737306893.368586,1737306682.5671725,1737306682.6895525,1737306682.7025356,1737306683.3545592,1737306683.3581264,1737306683.3581936
1737306850.8957405,1737306941.6075146,1737306850.911343,1737306851.0284517,1737306851.0415597,1737306851.5957515,1737306851.598706,1737306851.5987844
