iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737306068.1843393,1737306098.7327352,1737306068.2052727,1737306068.6253035,1737306068.6428092,1737306068.7217708,1737306068.724932,1737306068.724991
1737306071.368232,1737306102.2200837,1737306071.4077458,1737306072.1188095,1737306072.1380548,1737306072.210546,1737306072.213762,1737306072.2139328
1737306070.3187578,1737306130.5836208,1737306070.3405988,1737306070.4609034,1737306070.482267,1737306070.5689592,1737306070.5722308,1737306070.5722766
1737306069.2343662,1737306159.6596887,1737306069.3064215,1737306069.5142574,1737306069.5268252,1737306069.614361,1737306069.6220758,1737306069.6221528
1737306064.000656,1737306215.3372366,1737306064.0303438,1737306064.2308252,1737306064.2473166,1737306065.3231516,1737306065.326146,1737306065.326297
1737306066.091733,1737306216.4546416,1737306066.1118698,1737306066.2278643,1737306066.2443285,1737306066.4418294,1737306066.4443343,1737306066.4444296
1737306069.2343662,1737306220.059677,1737306069.3064215,1737306069.4270418,1737306069.4471974,1737306070.040541,1737306070.0442007,1737306070.0442798
1737306067.136826,1737306247.9356117,1737306067.155872,1737306067.272345,1737306067.3122456,1737306067.920127,1737306067.9225874,1737306067.9226816
1737306327.856366,1737306478.1910675,1737306327.8991146,1737306328.023004,1737306328.0375726,1737306328.1230657,1737306328.127696,1737306328.1278002
1737306569.4864516,1737306689.7918122,1737306569.510189,1737306569.633696,1737306569.6478322,1737306569.727523,1737306569.7307897,1737306569.7308598
1737306665.554657,1737306695.8956337,1737306665.5754554,1737306665.7803726,1737306665.7939079,1737306665.8849328,1737306665.888412,1737306665.888486
1737306666.6126847,1737306697.427109,1737306666.636275,1737306666.8215542,1737306666.836773,1737306667.415537,1737306667.4191275,1737306667.4192884
1737306674.9995563,1737306706.1812391,1737306675.0227034,1737306675.6393883,1737306675.6543992,1737306676.1680634,1737306676.1705165,1737306676.17065
1737306568.3965034,1737306778.7330313,1737306568.421934,1737306568.5444722,1737306568.5613866,1737306568.6619518,1737306568.6652617,1737306568.6653337
1737306667.6668925,1737306788.346749,1737306667.6901417,1737306668.2075381,1737306668.2230916,1737306668.322452,1737306668.3279128,1737306668.3279946
1737306867.9201128,1737306868.3411248,1737306868.0003302,1737306868.2189002,1737306868.233304,1737306868.3272595,1737306868.3303206,1737306868.3303971
1737306873.1945584,1737306874.0244753,1737306873.2982273,1737306873.4247577,1737306873.4410326,1737306874.0132606,1737306874.0165253,1737306874.0165932
1737306872.120829,1737306902.6146908,1737306872.2070556,1737306872.5215485,1737306872.5312274,1737306872.6005547,1737306872.603765,1737306872.6038327
1737306874.3023813,1737306905.0004592,1737306874.341685,1737306874.4573722,1737306874.4678144,1737306874.9855661,1737306874.9879751,1737306874.9880297
1737306875.3865514,1737306906.7464676,1737306875.4037566,1737306876.4221652,1737306876.4363923,1737306876.7362645,1737306876.7398896,1737306876.739962
