iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737493753.14117,1737493873.3957508,1737493753.160033,1737493753.282869,1737493753.309539,1737493753.3829827,1737493753.3855855,1737493753.3856905
1737493757.2777538,1737493937.6727276,1737493757.2971258,1737493757.524224,1737493757.5608153,1737493757.653535,1737493757.6573703,1737493757.6575127
1737493801.517762,1737494072.0027635,1737493801.5530849,1737493801.6782541,1737493801.699615,1737493801.9650087,1737493801.9679732,1737493801.9680555
1737493763.5350006,1737494093.8278942,1737493763.569705,1737493763.691674,1737493763.7106388,1737493763.7886245,1737493763.7918215,1737493763.791876
1737494022.1952965,1737494232.7071884,1737494022.2795482,1737494022.4078348,1737494022.4225388,1737494022.6332278,1737494022.6364045,1737494022.6364849
1737494361.6668725,1737494391.9230602,1737494361.6872244,1737494361.8096194,1737494361.8200753,1737494361.9114206,1737494361.9153464,1737494361.9154177
1737494559.899546,1737494560.3475263,1737494559.9853737,1737494560.0981944,1737494560.1180818,1737494560.3356304,1737494560.3385472,1737494560.338628
1737494570.3516212,1737494660.6183903,1737494570.3870764,1737494570.5099528,1737494570.5246804,1737494570.6065254,1737494570.6092675,1737494570.6093526
1737494564.1062841,1737494834.672785,1737494564.1268816,1737494564.467132,1737494564.4823856,1737494564.6493216,1737494564.6529744,1737494564.6530812
1737494606.8168004,1737494937.1627612,1737494606.8439279,1737494606.9668841,1737494606.981768,1737494607.1186197,1737494607.1237857,1737494607.123866
1737494825.1541088,1737495005.480614,1737494825.1809466,1737494825.3008049,1737494825.3207314,1737494825.4101295,1737494825.4139295,1737494825.4140086
1737495166.195584,1737495257.0281787,1737495166.2294014,1737495166.3547843,1737495166.3666868,1737495166.97038,1737495166.9731698,1737495166.9732528
1737495368.3925645,1737495368.7558765,1737495368.411816,1737495368.6251853,1737495368.6408536,1737495368.7455933,1737495368.7489264,1737495368.7489924
1737495364.262811,1737495395.144661,1737495364.282456,1737495364.401879,1737495364.4171138,1737495365.0511684,1737495365.0541713,1737495365.0542529
1737495374.6237814,1737495405.0352871,1737495374.6983585,1737495374.8191576,1737495374.8355618,1737495375.0263348,1737495375.029047,1737495375.0291138
1737495411.5784225,1737495621.9044893,1737495411.619487,1737495411.7451622,1737495411.7613642,1737495411.865035,1737495411.868892,1737495411.8690674
1737495632.0869315,1737495752.428174,1737495632.1305153,1737495632.2607784,1737495632.277376,1737495632.354872,1737495632.3585384,1737495632.3586187
