iot_start, iot_end, edge_start1, edge_end1, cloud_start, cloud_end, edge_start2, edge_end2
1737493704.86784,1737494961.7630515,1737494287.9546444,1737494288.075495,1737494288.095289,1737494288.6986482,1737494288.7048998,1737494288.7049778
1737493704.6081963,1737495021.7409568,1737494199.2254565,1737494199.3468513,1737494199.3698606,1737494199.921208,1737494199.9243445,1737494199.9244153
1737494998.0340838,1737495063.3702917,1737495063.1296966,1737495063.2514815,1737495063.2677288,1737495063.3555384,1737495063.3600643,1737495063.3601465
1737495004.4033456,1737495070.6453054,1737495070.3061602,1737495070.4898243,1737495070.5081193,1737495070.602258,1737495070.6053028,1737495070.6053667
1737495003.648722,1737495070.7240574,1737495069.341988,1737495070.1027257,1737495070.1149502,1737495070.7047796,1737495070.7093127,1737495070.7094436
1737495005.1471088,1737495074.1190224,1737495073.2433264,1737495073.535209,1737495073.5463717,1737495074.0975316,1737495074.1005507,1737495074.1006672
1737495004.8996937,1737495074.968223,1737495074.292408,1737495074.411144,1737495074.4242632,1737495074.957984,1737495074.9608545,1737495074.9609127
1737495005.0249078,1737495076.4004345,1737495075.966359,1737495076.2857451,1737495076.295413,1737495076.3702502,1737495076.3727324,1737495076.3727849
1737495007.7554357,1737495077.1687336,1737495076.4921627,1737495076.622015,1737495076.640948,1737495077.1532896,1737495077.156568,1737495077.1566641
1737494999.4828722,1737495079.032105,1737495048.513587,1737495048.9332397,1737495048.9543731,1737495049.0172124,1737495049.0212715,1737495049.0213363
1737495000.8220441,1737495079.595277,1737495078.5674713,1737495079.475939,1737495079.4860554,1737495079.5764706,1737495079.579445,1737495079.5795262
1737495005.0249078,1737495106.2867086,1737495075.966359,1737495076.1737475,1737495076.183923,1737495076.274773,1737495076.2782319,1737495076.278311
1737495000.9433765,1737495107.4352162,1737495077.147854,1737495077.3217106,1737495077.3407211,1737495077.4134917,1737495077.4176881,1737495077.4178257
1737495006.1941032,1737495117.9362383,1737495087.2677622,1737495087.7867277,1737495087.8062322,1737495087.9223466,1737495087.9264712,1737495087.9266176
1737495005.263188,1737495126.7738476,1737495096.4656744,1737495096.5842376,1737495096.6051362,1737495096.6725988,1737495096.6755776,1737495096.6756244
1737495004.2781107,1737495126.8830702,1737495096.5735006,1737495096.7045925,1737495096.7244334,1737495096.8732345,1737495096.876016,1737495096.8761003
1737495005.1471088,1737495133.9865253,1737495073.2433264,1737495073.4341705,1737495073.4625235,1737495073.9727962,1737495073.9767723,1737495073.9768488
1737495004.8996937,1737495134.8869548,1737495074.292408,1737495074.7789247,1737495074.8011894,1737495074.8753974,1737495074.8788626,1737495074.8789408
1737495007.9901073,1737495135.155723,1737495104.8862727,1737495105.0080035,1737495105.0206292,1737495105.1399987,1737495105.1430178,1737495105.1430993
1737495006.3098857,1737495137.6953542,1737495077.4590747,1737495077.5776854,1737495077.590688,1737495077.6806426,1737495077.6841483,1737495077.684251
1737495006.8982785,1737495139.1443858,1737495078.0346754,1737495078.98088,1737495079.0183835,1737495079.127512,1737495079.1321454,1737495079.1322262
1737494999.0887566,1737495139.5505471,1737495048.779554,1737495048.9010396,1737495048.922206,1737495049.4498765,1737495049.453201,1737495049.4532712
1737495005.724427,1737495156.5275772,1737495065.7909608,1737495065.915014,1737495065.925619,1737495066.4876587,1737495066.490234,1737495066.4903007
1737495005.263188,1737495156.7047195,1737495096.4656744,1737495096.582837,1737495096.5961142,1737495096.6707394,1737495096.6735203,1737495096.673585
1737495003.9040759,1737495156.9137058,1737495066.5886877,1737495066.7551963,1737495066.7693233,1737495066.8919175,1737495066.8949552,1737495066.8950365
1737495000.7052438,1737495159.5711923,1737495069.0714805,1737495069.235418,1737495069.2529247,1737495069.5592377,1737495069.5620844,1737495069.5625842
1737494999.2182324,1737495163.112084,1737495071.643329,1737495072.5326357,1737495072.5476933,1737495073.0907404,1737495073.0942123,1737495073.0942817
1737494999.4828722,1737495169.3310704,1737495048.513587,1737495048.7592165,1737495048.777274,1737495049.309949,1737495049.3125288,1737495049.3125877
1737495005.3787067,1737495175.7869282,1737495085.101255,1737495085.6798646,1737495085.6892722,1737495085.772755,1737495085.775838,1737495085.7758925
1737495005.3787067,1737495176.1658669,1737495085.101255,1737495085.5952725,1737495085.6243289,1737495086.153985,1737495086.1571028,1737495086.1572096
1737494998.9630775,1737495185.3475292,1737495064.6552541,1737495064.7757723,1737495064.7878535,1737495065.3309934,1737495065.3346825,1737495065.3347547
1737495005.6086597,1737495187.5944378,1737495096.8902214,1737495097.0099628,1737495097.024965,1737495097.5334709,1737495097.5364554,1737495097.5365102
1737495004.7623458,1737495196.5167477,1737495075.7123885,1737495075.9326835,1737495075.9442499,1737495076.5043473,1737495076.5076592,1737495076.5077097
1737495036.2579813,1737495204.7708485,1737495174.5323384,1737495174.6542184,1737495174.6742525,1737495174.7596629,1737495174.7630203,1737495174.7631006
1737494999.353651,1737495210.114012,1737495058.4655516,1737495058.6416934,1737495058.6611538,1737495060.1010442,1737495060.1040294,1737495060.1041574
1737495002.908824,1737495220.5041962,1737495069.9929867,1737495070.3685312,1737495070.387391,1737495070.4792533,1737495070.4825444,1737495070.482622
1737495008.2391675,1737495242.6336915,1737495092.338836,1737495092.4569495,1737495092.468127,1737495092.6202273,1737495092.623467,1737495092.6235454
1737495003.0352592,1737495244.1296456,1737495093.548127,1737495094.017072,1737495094.0318632,1737495094.1164155,1737495094.1194246,1737495094.1194756
1737495003.648722,1737495250.5598552,1737495069.341988,1737495069.874022,1737495069.8870337,1737495070.5342429,1737495070.5377338,1737495070.5377984
1737495037.2874045,1737495256.4335299,1737495165.7838664,1737495165.9022338,1737495165.9133325,1737495166.420009,1737495166.4235432,1737495166.4236224
1737495003.15603,1737495282.5655,1737495070.9972985,1737495072.0082488,1737495072.026584,1737495072.5477655,1737495072.5513587,1737495072.551444
1737495004.6465557,1737495283.3270473,1737495072.970086,1737495073.2182608,1737495073.2321362,1737495073.3110943,1737495073.314809,1737495073.31489
